recId,SeqNumber,seqLength,lat,lng,displayState,displayCity,performanceImpressions
246,1,1,29.97333,-92.13575,LA,Abbeville,477
286,1,1,29.97333,-92.13575,LA,Abbeville,129
809,1,1,32.44917,-99.74142,TX,Abilene,4
310,1,1,30.47833,-90.03563,LA,Abita Springs,68
313,1,1,30.47833,-90.03563,LA,Abita Springs,67
553,1,1,33.31193,-89.17677,MS,Ackerman,32
29,1,1,33.60056,-86.95372,AL,Adamsville,12
63,1,1,33.2451,-86.81635,AL,Alabaster,1
178,1,1,29.79309,-82.49428,FL,Alachua,5
440,1,1,30.50425,-90.58197,LA,Albany,2
821,1,1,32.696,-97.60502,TX,Aledo,3
317,1,1,31.31266,-92.44568,LA,Alexandria,59
376,1,1,31.31266,-92.44568,LA,Alexandria,14
894,1,1,33.10144,-96.67449,TX,Allen,1
114,1,1,28.66591,-81.35977,FL,Altamonte Springs,49
791,1,1,29.42381,-95.24538,TX,Alvin,6
730,1,1,35.20726,-101.83389,TX,Amarillo,27
419,1,1,30.72668,-90.50851,LA,Amite,4
454,1,1,30.72668,-90.50851,LA,Amite,1
805,1,1,32.31898,-102.54667,TX,Andrews,4
904,1,1,29.1645,-95.43195,TX,Angleton,1
755,1,1,33.34961,-96.5512,TX,Anna,15
43,1,1,33.65712,-85.81891,AL,Anniston,5
116,1,1,28.67312,-81.5076,FL,Apopka,46
743,1,1,27.90332,-97.14783,TX,Aransas Pass,19
209,1,1,29.53105,-82.52229,FL,Archer,1
668,1,1,32.7356,-97.10772,TX,Arlington,"1,277"
681,1,1,32.7356,-97.10772,TX,Arlington,175
322,1,1,30.39789,-91.93234,LA,Arnaudville,55
420,1,1,30.39789,-91.93234,LA,Arnaudville,4
36,1,1,33.83651,-86.25475,AL,Ashville,7
62,1,1,34.8045,-86.97128,AL,Athens,1
11,1,1,31.02492,-87.49381,AL,Atmore,47
27,1,1,32.60829,-85.48173,AL,Auburn,12
69,1,1,32.60829,-85.48173,AL,Auburn,1
679,1,1,30.26759,-97.74299,TX,Austin,223
866,1,1,30.26759,-97.74299,TX,Austin,1
833,1,1,32.88353,-97.53712,TX,Azle,2
321,1,1,30.58815,-91.16646,LA,Baker,55
864,1,1,32.72665,-96.62263,TX,Balch Springs,1
327,1,1,29.83835,-91.54474,LA,Baldwin,51
